jobTitle,jobClassification,jobSubClassification,advertiserName,companyName,nation,state,city,area,suburb,workType
Data Scientist with Top Fund Manager,Science & Technology,"Mathematics, Statistics & Information Sciences",Coolabah Capital Investments Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,sportsbet.com.au,Sportsbet,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Other,Continuum Recruitment,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,,Full Time
Data Scientist,Information & Communication Technology,Other,MTP Services,,Australia,Australian Capital Territory,ACT,,,Contract/Temp
Data Scientist,Information & Communication Technology,Consultants,Greythorn Experis,,Australia,New South Wales,Sydney,,,Full Time
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",iSelect Ltd,iSelect,Australia,Victoria,Melbourne,Bayside & South Eastern Suburbs,cheltenham,Full Time
Bioinformatician in Computational Functional Genomics,Science & Technology,Biological & Biomedical Sciences,Children's Medical Research Institute,Children's Medical Research Institute,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,westmead,Full Time
Quant / Data Scientist | Algorithmic Trading Company | Up to $200K Package,Information & Communication Technology,Business/Systems Analysts,Hyre.,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",QBE,QBE Insurance,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,Michael Page Information Technology,,Australia,Western Australia,Perth,,perth,Contract/Temp
Data Scientist  ,Information & Communication Technology,Engineering - Software,Capgemini Australia Pty Ltd,Capgemini,Australia,South Australia,Adelaide,,,Full Time
"Manager, Data Science - NLP & ML",Science & Technology,"Mathematics, Statistics & Information Sciences",T+O+M Executive,,Australia,New South Wales,Sydney,,,Full Time
DATA SCIENTIST,Information & Communication Technology,Consultants,CPT Global,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Data Scientist,Information & Communication Technology,Engineering - Software,Genesis IT&T P/L,,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",CircuIT Recruitment Group,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Analyst,Banking & Financial Services,Analysis & Reporting,REST Industry Super,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,Northbridge Recruitment,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
"Data Scientist, Analytics, Machine Learning - Data Scientist, Data Statistician",Information & Communication Technology,Consultants,Infinity Pro,,Australia,New South Wales,Sydney,Parramatta & Western Suburbs,sydney,Full Time
Data Scientist,Banking & Financial Services,Analysis & Reporting,Bluefin Resources Pty Limited,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Engineering - Software,Beacham Group,,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Full Time
Research Fellow - Systems Scientist/Data Scientist,Education & Training,Research & Fellowships,Institute for Economics & Peace,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,stleonards,Full Time
"Senior Data Scientist, Machine Learning - Sydney",Information & Communication Technology,Engineering - Software,EY,EY,Australia,New South Wales,Sydney,,,Full Time
Data Scientist,Information & Communication Technology,Other,Salt Search,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist - Remediation Analytics,Information & Communication Technology,Other,Robert Walters,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Other,Greythorn Experis,,Australia,Australian Capital Territory,ACT,,canberra,Contract/Temp
Data Scientist - SAS to Tableau Migration,Information & Communication Technology,Other,Illuminate Search & Consulting,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist,Marketing & Communications,Digital & Search Marketing,Annalect,,Australia,New South Wales,Sydney,,,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Findex,Findex,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",SparkBeyond,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Consultants,JENNY BARBOUR IT AND PROJECT RECRUITMENT,,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Contract/Temp
Data Scientist,Information & Communication Technology,Database Development & Administration,Allura Partners,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist ,Science & Technology,"Mathematics, Statistics & Information Sciences",Bluefin Resources Pty Limited,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Data Scientist,Banking & Financial Services,Analysis & Reporting,Verse Group,,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Full Time
Data Scientist APS 6,Information & Communication Technology,Database Development & Administration,Michael Page Information Technology,,Australia,Australian Capital Territory,ACT,,canberra,Contract/Temp
Data Scientist,Information & Communication Technology,Developers/Programmers,T+O+M Executive,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist,Information & Communication Technology,Consultants,Data Mettle,,Australia,Western Australia,Perth,"CBD, Inner & Western Suburbs",perth,Full Time
Data Scientist - Banking,Science & Technology,"Mathematics, Statistics & Information Sciences",Morgan McKinley,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist - Machine Learning,Science & Technology,"Mathematics, Statistics & Information Sciences",Morgan McKinley,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Engineering - Software,Australia Wide Personnel P/L,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist/Engineer in Leadership Technology - Remote Working,Science & Technology,"Mathematics, Statistics & Information Sciences",Cafeto,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,,Part Time
Data Scientist - FMCG,Science & Technology,"Mathematics, Statistics & Information Sciences",IRI,,Australia,New South Wales,Sydney,Ryde & Macquarie Park,,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,Greythorn Experis,,Australia,Victoria,Melbourne,,greythorn,Contract/Temp
Data Scientist,Information & Communication Technology,Developers/Programmers,Hays Information Technology,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,Foxtel Management Pty Limited,Foxtel,Australia,New South Wales,Sydney,Ryde & Macquarie Park,,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,Aurec,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Full Stack Python Developer,Information & Communication Technology,Developers/Programmers,Sirius Technology Sydney part of Sirius People Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Data Engineer,Information & Communication Technology,Database Development & Administration,Allura Partners,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Business/Systems Analysts,IPA,,Australia,Queensland,Brisbane,,brisbane,Contract/Temp
Data Scientist,Information & Communication Technology,Other,FIRESOFT People,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Lead Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Ambition,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Information & Communication Technology,Other,FIRESOFT People,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Lead Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Ambition,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Engineer/Analyst - SAS to Tableau Migration,Information & Communication Technology,Other,Illuminate Search & Consulting,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",NTI Ltd,National Transport Insurance,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Full Time
Senior Data Scientist,Information & Communication Technology,Business/Systems Analysts,Macquarie Group Limited,Macquarie Group,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist,Information & Communication Technology,Engineering - Software,Northbridge Recruitment,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist ML/AI,Information & Communication Technology,Database Development & Administration,ABC,Australian Broadcasting Corporation,Australia,New South Wales,Sydney,,ultimo,Full Time
Data Scientist ML/AI,Government & Defence,Government - Federal,ABC,Australian Broadcasting Corporation,Australia,New South Wales,Sydney,,ultimo,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Saluda Medical,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,artarmon,Full Time
Data Scientist - Asset Management/Predictive Maintenance (Contract 700-900pd),Consulting & Strategy,Analysts,Correlate Resources,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Junior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Saluda Medical,,Australia,New South Wales,Sydney,North Shore & Northern Beaches,artarmon,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,Greythorn Experis,,Australia,Victoria,Melbourne,,greythorn,Contract/Temp
Data Scientist/Software Developer,Information & Communication Technology,Developers/Programmers,Elenium Automation Pty Ltd,,Australia,Victoria,Melbourne,Northern Suburbs,tullamarine,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,Modis,,Australia,South Australia,Adelaide,,adelaide,Contract/Temp
Data Scientist,Information & Communication Technology,Developers/Programmers,Siemens Healthcare Pty Ltd,Siemens,Australia,Victoria,Melbourne,Eastern Suburbs,bayswater,Full Time
Data Scientist,Information & Communication Technology,Database Development & Administration,2XM Technology Pty Ltd,,Australia,Western Australia,Perth,,,Full Time
Data Scientist / Senior Consultants,Information & Communication Technology,Developers/Programmers,Hypothesis Consulting,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist,Banking & Financial Services,Analysis & Reporting,Bluefin Resources Pty Limited,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist,Information & Communication Technology,Consultants,NTT Ltd,NTT Ltd,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Developers/Programmers,Experis AU,,Australia,Queensland,Brisbane,CBD & Inner Suburbs,brisbane,Contract/Temp
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Oceans Group,,Australia,New South Wales,Sydney,,sydney,Full Time
Data Scientist,Banking & Financial Services,Analysis & Reporting,Bluefin Resources Pty Limited,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Senior Data Scientist and Insights Analyst,Information & Communication Technology,Database Development & Administration,Compare the Market,Compare the Market,Australia,Queensland,Brisbane,CBD & Inner Suburbs,toowong,Full Time
Data Scientist | Machine Learning & AI,Science & Technology,"Mathematics, Statistics & Information Sciences",CircuIT Recruitment Group,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Senior Data Scientist,Information & Communication Technology,Developers/Programmers,Opus Recruitment Solutions,,Australia,New South Wales,Albury Area,,,Full Time
"Contract Data Scientist - Python, Google Cloud, Production big data!",Science & Technology,"Mathematics, Statistics & Information Sciences",Talent Insights Group Pty Ltd,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Contract/Temp
Data Scientist \ Engineer,Information & Communication Technology,Engineering - Software,Mission Australia,Mission Australia,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Part Time
Data Scientist \ Engineer,Information & Communication Technology,Business/Systems Analysts,Mission Australia,Mission Australia,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Part Time
"Consultant, Data Science",Banking & Financial Services,Other,National Australia Bank,NAB,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Data Scientist,Information & Communication Technology,Other,FourQuarters Recruitment,,Australia,Victoria,Melbourne,,eastmelbourne,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Equifax Australia,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",SEEK Limited,SEEK,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
Senior Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Precision Sourcing,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Insurance & Superannuation,Risk Consulting,AMP Services Limited,AMP,Australia,New South Wales,Sydney,,,Full Time
Principal Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Motion Recruitment,,Australia,New South Wales,Sydney,,,Full Time
Data Scientist / Data Warehouse Lead,Information & Communication Technology,Engineering - Software,Milestone Information Technology,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Part Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Red Resources,,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Contract/Temp
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Preacta Recruitment,,Australia,New South Wales,Sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Findex,Findex,Australia,Victoria,Melbourne,CBD & Inner Suburbs,melbourne,Full Time
